Fold,N_train,N_validacion,Accuracy,Precision,Recall,F1_score,Balanced_accuracy,Especificidad,FPR,FNR,ROC_AUC,Average_precision,TN,FP,FN,TP,Iteraciones_MLP,Best_validation_score,Loss_final,Tiempo_ajuste_segundos
1,569,143,0.8321678321678322,0.8163265306122449,0.7272727272727273,0.7692307692307693,0.8125,0.8977272727272727,0.10227272727272728,0.2727272727272727,0.8560950413223141,0.8469706503991106,79,9,15,40,75,0.872093023255814,0.3531081425394974,0.2962476999964565
2,569,143,0.8181818181818182,0.8536585365853658,0.6363636363636364,0.7291666666666666,0.7840909090909091,0.9318181818181818,0.06818181818181818,0.36363636363636365,0.8338842975206612,0.832845043603736,82,6,20,35,55,0.8604651162790697,0.34608621749192714,0.23388160002650693
3,570,142,0.8450704225352113,0.8837209302325582,0.6909090909090909,0.7755102040816326,0.8167189132706374,0.9425287356321839,0.05747126436781609,0.3090909090909091,0.886833855799373,0.8697868566995479,82,5,17,38,43,0.8604651162790697,0.39397467477303516,0.16675939998822287
4,570,142,0.823943661971831,0.7735849056603774,0.7592592592592593,0.7663551401869159,0.8114478114478114,0.8636363636363636,0.13636363636363635,0.24074074074074073,0.86121632996633,0.8484408748043543,76,12,13,41,56,0.9302325581395349,0.37617878030828544,0.21377219998976216
5,570,142,0.8098591549295775,0.8461538461538461,0.6111111111111112,0.7096774193548387,0.7714646464646464,0.9318181818181818,0.06818181818181818,0.3888888888888889,0.8733164983164983,0.7986105842033477,82,6,21,33,38,0.8255813953488372,0.36289008369419634,0.18495480000274256
