Modelo,RMSE_train,RMSE_test,R2_train,R2_test,Gap_R2_train_test
Regresión lineal simple,0.8361487409655547,0.8420901241414455,0.47699273458205227,0.45885918903846656,0.018133545543585705
Regresión lineal multivariable,0.7196757085831575,0.7455813830127762,0.6125511913966952,0.575787706032451,0.03676348536424423
Árbol de decisión,0.6959477541460324,0.7242338143386247,0.6376786573648903,0.5997321244428706,0.03794653292201966
Red neuronal MLP,0.5300543705535972,0.5493013149951887,0.7898247942215658,0.7697421647244129,0.020082629497152893
