Modelo,Iteracion,Loss
MLP 2 capas ocultas,48,0.40246142529404827
MLP 2 capas ocultas,49,0.4033169437117176
MLP 2 capas ocultas,50,0.4044691209760914
MLP 2 capas ocultas,51,0.40391487921301183
MLP 2 capas ocultas,52,0.4048335712479051
MLP 3 capas ocultas,1,0.7135513539747897
MLP 3 capas ocultas,2,0.662464478543013
MLP 3 capas ocultas,3,0.6264925175064988
MLP 3 capas ocultas,4,0.595819437089455
MLP 3 capas ocultas,5,0.5734508047201831
MLP 3 capas ocultas,6,0.554074532534277
MLP 3 capas ocultas,7,0.5396141087033269
MLP 3 capas ocultas,8,0.5287692575308496
MLP 3 capas ocultas,9,0.522161513791192
MLP 3 capas ocultas,10,0.5210219592424805
MLP 3 capas ocultas,11,0.5143096303600664
MLP 3 capas ocultas,12,0.5027130698788108
MLP 3 capas ocultas,13,0.4892164511249335
MLP 3 capas ocultas,14,0.47837336603424396
MLP 3 capas ocultas,15,0.46903762111838015
MLP 3 capas ocultas,16,0.4594192968984391
MLP 3 capas ocultas,17,0.4522072861767419
MLP 3 capas ocultas,18,0.44282699178345286
MLP 3 capas ocultas,19,0.4367433498954985
MLP 3 capas ocultas,20,0.43381763932181516
MLP 3 capas ocultas,21,0.43027703311603827
MLP 3 capas ocultas,22,0.4252057155344906
MLP 3 capas ocultas,23,0.4173892326925719
MLP 3 capas ocultas,24,0.4154195933189604
MLP 3 capas ocultas,25,0.413180663436705
MLP 3 capas ocultas,26,0.40879258968248045
MLP 3 capas ocultas,27,0.40432315052581513
MLP 3 capas ocultas,28,0.40013596013928077
MLP 3 capas ocultas,29,0.3987608716515307
MLP 3 capas ocultas,30,0.39934499411459057
MLP 3 capas ocultas,31,0.39811895690738275
MLP 3 capas ocultas,32,0.3957840898335572
MLP 3 capas ocultas,33,0.3932634171422767
MLP 3 capas ocultas,34,0.39393656122625564
MLP 3 capas ocultas,35,0.3989200204446087
MLP 3 capas ocultas,36,0.39283077853927223
MLP 3 capas ocultas,37,0.38523070393933406
MLP 3 capas ocultas,38,0.38762678608152923
MLP 3 capas ocultas,39,0.3882218982843484
MLP 3 capas ocultas,40,0.38818704741081794
MLP 3 capas ocultas,41,0.3899551256855377
MLP 3 capas ocultas,42,0.38761340961107044
MLP 3 capas ocultas,43,0.38393412630567075
MLP 3 capas ocultas,44,0.38257996215104345
MLP 3 capas ocultas,45,0.38050870292334443
MLP 3 capas ocultas,46,0.3783485328028112
MLP 3 capas ocultas,47,0.3759840797464287
MLP 3 capas ocultas,48,0.37796982874645574
MLP 3 capas ocultas,49,0.376935168452959
MLP 3 capas ocultas,50,0.3793676205801808
