Modelo,Accuracy_train,Accuracy_test,Gap_accuracy_train_test,F1_train,F1_test,Gap_F1_train_test
MLP 1 capa oculta,0.8061797752808989,0.776536312849162,0.029643462431736878,0.7261904761904762,0.6825396825396826,0.04365079365079361
MLP 2 capas ocultas,0.824438202247191,0.7932960893854749,0.031142112861716087,0.7723132969034608,0.7299270072992701,0.042386289604190774
MLP 3 capas ocultas,0.8384831460674157,0.7877094972067039,0.050773648860711784,0.760914760914761,0.6779661016949152,0.08294865921984573
