Modelo,MSE_train,RMSE_train,R2_train,MSE_test,RMSE_test,R2_test,Gap_R2_train_test,Gap_RMSE_test_train
Regresión lineal simple,0.6991447170182823,0.8361487409655547,0.47699273458205227,0.7091157771765549,0.8420901241414455,0.45885918903846656,0.018133545543585705,0.005941383175890769
Regresión lineal multivariable,0.5179331255246699,0.7196757085831575,0.6125511913966952,0.5558915986952442,0.7455813830127763,0.575787706032451,0.03676348536424423,0.025905674429618775
Árbol inicial,0.4843432765009063,0.6959477541460324,0.6376786573648903,0.5245146178314735,0.7242338143386247,0.5997321244428706,0.03794653292201966,0.028286060192592277
MLP regresión,0.2809576357429701,0.5300543705535972,0.7898247942215658,0.30173193465544357,0.5493013149951887,0.7697421647244128,0.020082629497153004,0.019246944441591585
Árbol ajustado,0.216617564264111,0.46542192069573923,0.8379554945213057,0.36309635852860034,0.6025747742219221,0.7229137127738372,0.11504178174746849,0.13715285352618284
