Modelo,Accuracy,Precision,Recall,F1_score,Balanced_accuracy,Especificidad,TN,FP,FN,TP,Iteraciones,Detencion_antes_max_iter,Best_validation_score,Loss_final,Parametros_entrenables,Tiempo_ajuste_segundos
MLP 1 capa oculta,0.776536312849162,0.7543859649122807,0.6231884057971014,0.6825396825396826,0.7479578392621871,0.8727272727272727,96,14,26,43,72,True,0.7850467289719626,0.42361184946027686,1001,0.5607869999948889
MLP 2 capas ocultas,0.7932960893854749,0.7352941176470589,0.7246376811594203,0.7299270072992701,0.7805006587615283,0.8363636363636363,92,18,19,50,52,True,0.8785046728971962,0.4048335712479051,6001,0.5240817000158131
MLP 3 capas ocultas,0.7877094972067039,0.8163265306122449,0.5797101449275363,0.6779661016949152,0.7489459815546773,0.9181818181818182,101,9,29,40,50,True,0.8130841121495327,0.3793676205801808,7251,0.5875409999862313
