Modelo,Iteracion,Validation_score
MLP 2 capas ocultas,48,0.8411214953271028
MLP 2 capas ocultas,49,0.8411214953271028
MLP 2 capas ocultas,50,0.8317757009345794
MLP 2 capas ocultas,51,0.822429906542056
MLP 2 capas ocultas,52,0.8317757009345794
MLP 3 capas ocultas,1,0.5887850467289719
MLP 3 capas ocultas,2,0.7476635514018691
MLP 3 capas ocultas,3,0.7289719626168224
MLP 3 capas ocultas,4,0.719626168224299
MLP 3 capas ocultas,5,0.7102803738317757
MLP 3 capas ocultas,6,0.7009345794392523
MLP 3 capas ocultas,7,0.7102803738317757
MLP 3 capas ocultas,8,0.719626168224299
MLP 3 capas ocultas,9,0.719626168224299
MLP 3 capas ocultas,10,0.719626168224299
MLP 3 capas ocultas,11,0.7476635514018691
MLP 3 capas ocultas,12,0.7476635514018691
MLP 3 capas ocultas,13,0.7570093457943925
MLP 3 capas ocultas,14,0.7663551401869159
MLP 3 capas ocultas,15,0.7757009345794392
MLP 3 capas ocultas,16,0.7757009345794392
MLP 3 capas ocultas,17,0.7757009345794392
MLP 3 capas ocultas,18,0.7757009345794392
MLP 3 capas ocultas,19,0.7850467289719626
MLP 3 capas ocultas,20,0.7757009345794392
MLP 3 capas ocultas,21,0.7850467289719626
MLP 3 capas ocultas,22,0.7850467289719626
MLP 3 capas ocultas,23,0.7757009345794392
MLP 3 capas ocultas,24,0.7663551401869159
MLP 3 capas ocultas,25,0.7663551401869159
MLP 3 capas ocultas,26,0.7663551401869159
MLP 3 capas ocultas,27,0.7757009345794392
MLP 3 capas ocultas,28,0.7850467289719626
MLP 3 capas ocultas,29,0.8130841121495327
MLP 3 capas ocultas,30,0.8130841121495327
MLP 3 capas ocultas,31,0.8130841121495327
MLP 3 capas ocultas,32,0.8130841121495327
MLP 3 capas ocultas,33,0.794392523364486
MLP 3 capas ocultas,34,0.7476635514018691
MLP 3 capas ocultas,35,0.7383177570093458
MLP 3 capas ocultas,36,0.7850467289719626
MLP 3 capas ocultas,37,0.8037383177570093
MLP 3 capas ocultas,38,0.8037383177570093
MLP 3 capas ocultas,39,0.8130841121495327
MLP 3 capas ocultas,40,0.8130841121495327
MLP 3 capas ocultas,41,0.8130841121495327
MLP 3 capas ocultas,42,0.8130841121495327
MLP 3 capas ocultas,43,0.8037383177570093
MLP 3 capas ocultas,44,0.8037383177570093
MLP 3 capas ocultas,45,0.8037383177570093
MLP 3 capas ocultas,46,0.8037383177570093
MLP 3 capas ocultas,47,0.794392523364486
MLP 3 capas ocultas,48,0.794392523364486
MLP 3 capas ocultas,49,0.794392523364486
MLP 3 capas ocultas,50,0.7757009345794392
