Ranking_F1,Modelo,Accuracy,Precision,Recall,F1_score,ROC_AUC,Average_Precision,FP,FN
1,SVM,0.8324022346368715,0.8305084745762712,0.7101449275362319,0.765625,0.8337285902503292,0.7912831068916878,10,20
2,KNN,0.8156424581005587,0.8103448275862069,0.6811594202898551,0.7401574803149606,0.8353096179183135,0.7443292990705974,11,22
3,MLP 2 capas ocultas,0.7932960893854749,0.7352941176470589,0.7246376811594203,0.7299270072992701,0.8521739130434781,0.7890822694080781,18,19
4,Naive Bayes,0.7821229050279329,0.7272727272727273,0.6956521739130435,0.7111111111111111,0.8080368906455861,0.7137258988112746,18,21
5,MLP 1 capa oculta,0.776536312849162,0.7543859649122807,0.6231884057971014,0.6825396825396826,0.8359683794466404,0.755663671950034,14,26
6,MLP 3 capas ocultas,0.7877094972067039,0.8163265306122449,0.5797101449275363,0.6779661016949152,0.8370223978919632,0.7832325396017116,9,29
7,Árbol de decisión,0.7653631284916201,0.7547169811320755,0.5797101449275363,0.6557377049180327,0.7971014492753623,0.7636409449715577,13,29
