Metrica,Media,Desv_estandar_muestral,Minimo,Maximo,Rango
Accuracy,0.8076036639416919,0.01665153215863653,0.7887323943661971,0.8309859154929577,0.04225352112676062
Precision,0.8020862861035027,0.06301898087216228,0.7222222222222222,0.8780487804878049,0.15582655826558267
Recall,0.6703703703703704,0.04258693618367554,0.6296296296296297,0.7222222222222222,0.09259259259259256
F1_score,0.7277092482431704,0.016106861072147545,0.7070707070707071,0.75,0.04292929292929293
Balanced_accuracy,0.7817107860211309,0.011776808692631726,0.7670454545454546,0.7985370950888192,0.03149164054336462
Especificidad,0.8930512016718912,0.04709294897251872,0.8295454545454546,0.9425287356321839,0.11298328108672928
ROC_AUC,0.8570718021384165,0.0182973285877344,0.8292355371900826,0.8730407523510972,0.043805215161014655
Average_Precision,0.8237268327913357,0.01912132153406088,0.8017859398245945,0.8442241081096676,0.042438168285073186
